2theta	Intensity	2theta	Intensity	2theta	Intensity	2theta	Intensity	2theta	Intensity	2theta	Intensity	2theta	Intensity
6.51856872	84.2441090478375	6.51856872	19.06142766992582	6.51856872	17.53796187743461	6.51856872	50.888323763651556	6.51856872	47.453541038341314	6.51856872	60.78300735791521	6.51856872	29.756346513685855
6.56203448	68.8554344815727	6.56203448	26.781401019929774	6.56203448	16.078039647901107	6.56203448	67.34721821387961	6.56203448	54.562654267015205	6.56203448	21.57888064951979	6.56203448	52.129641860508485
6.60550024	48.46803483053236	6.60550024	39.564732264346105	6.60550024	34.63202692323037	6.60550024	39.84062675527599	6.60550024	59.74091175274549	6.60550024	43.37672106145678	6.60550024	40.517646479970324
6.648966	95.08190863440498	6.648966	63.40345515907785	6.648966	30.199060527875247	6.648966	20.36220952403744	6.648966	50.98147982318039	6.648966	52.17624011225243	6.648966	11.919484937594007
6.69243176	64.6970544328791	6.69243176	24.290015486045775	6.69243176	7.778322711456298	6.69243176	42.905994893251545	6.69243176	47.27787228584691	6.69243176	46.97716403666493	6.69243176	8.33432339555543
6.73589752	101.31347076564313	6.73589752	17.2172572556413	6.73589752	10.369039566430871	6.73589752	7.466366314079892	6.73589752	58.62393855323353	6.73589752	43.779233470961856	6.73589752	32.76136835359759
6.77936328	65.93115617238561	6.77936328	4.178409244699139	6.77936328	22.97047948465348	6.77936328	45.038049490698086	6.77936328	29.01385206495297	6.77936328	71.582203140177	6.77936328	22.19986541596154
6.82282904	105.55010919279505	6.82282904	70.1670718638282	6.82282904	59.58195165211907	6.82282904	23.616099882682192	6.82282904	48.4420990013715	6.82282904	43.38584154740656	6.82282904	-4.3509019160528055
6.8662948	86.17032836655994	6.8662948	44.17720434802567	6.8662948	24.20280458118998	6.8662948	28.195890528623977	6.8662948	19.90346728317502	6.8662948	29.189930665202297	6.8662948	24.108386573724374
6.90976056	79.79181223336874	6.90976056	62.20311226457562	6.90976056	56.832424679617276	6.90976056	33.77310018484809	6.90976056	78.39303585141784	6.90976056	41.99426562911768	6.90976056	37.57708665901447
6.95322632	73.41455933290996	6.95322632	66.23943533233029	6.95322632	8.470234855677347	6.95322632	49.3437017731859	6.95322632	92.90616422267897	6.95322632	55.798654433461365	6.95322632	38.054588538271105
6.99669208	56.03856820487215	6.99669208	51.28113554654709	6.99669208	51.11569315875198	6.99669208	49.90395113185593	6.99669208	21.438482314033536	6.99669208	30.602917629310554	6.99669208	15.54031572598987
7.04015784	80.66383738894376	7.04015784	7.323485603535403	7.04015784	37.76829145469242	7.04015784	25.450376063575845	7.04015784	17.98588053261699	7.04015784	39.406888024834785	7.04015784	24.033723967781157
7.0836236	65.29036542481327	7.0836236	68.36205761945729	7.0836236	20.427554135314665	7.0836236	42.979765675130125	7.0836236	48.544500124638944	7.0836236	45.21041038797884	7.0836236	37.53430017884659
7.12708936	76.91815085216922	7.12708936	62.39271213769911	7.12708936	2.0930368613832684	7.12708936	69.48916000268594	7.12708936	58.11072377878088	7.12708936	25.01334115155288	7.12708936	4.04156140549992
7.17055512	84.54719221070005	7.17055512	38.411587419313435	7.17055512	17.76432533845042	7.17055512	86.97583991724628	7.17055512	30.681166478981254	7.17055512	17.81554812077445	7.17055512	-0.4449461906193335
7.21402088	58.17748804009432	7.21402088	68.41508901111018	7.21402088	19.441034124925494	7.21402088	47.4373173047029	7.21402088	23.25266660168984	7.21402088	23.616910183307	7.21402088	-8.925648325989727
7.25748664	91.80903688004051	7.25748664	45.39987958605656	7.25748664	40.12280547175874	7.25748664	57.871325515039416	7.25748664	51.8222772527439	7.25748664	33.41731702183671	7.25748664	7.599056433345282
7.3009524	56.44183727022707	7.3009524	34.36286905071273	7.3009524	25.80930819313261	7.3009524	71.27581007530739	7.3009524	76.38725783908956	7.3009524	40.21666882922878	7.3009524	23.128795721986762
7.34441816	41.07588775034253	7.34441816	71.3012049145238	7.34441816	59.50023656756187	7.34441816	10.648919661087803	7.34441816	33.94506587064723	7.34441816	5.014876026302204	7.34441816	29.663222446707096
7.38788392	62.71118686007537	7.38788392	72.21226291584088	7.38788392	85.19530926881262	7.38788392	61.98899732122254	7.38788392	46.493348987685636	7.38788392	23.81185898226022	7.38788392	63.20201387896108
7.43134968	74.34773313911413	7.43134968	57.09363789965113	7.43134968	37.89426832605929	7.43134968	44.294571950677664	7.43134968	27.02993720913844	7.43134968	51.607547737813064	7.43134968	65.74487076805042
7.47481544	95.98552512714724	7.47481544	71.94313494203078	7.47481544	64.59687811270578	7.47481544	48.56435000648207	7.47481544	63.55283539737604	7.47481544	28.401881731027203	7.47481544	35.29151647461569
7.5182812	72.62456136386325	7.5182812	98.75876071644501	7.5182812	53.302924363306886	7.5182812	31.79720746176031	7.5182812	45.060215934994744	7.5182812	31.194809525934062	7.5182812	0.8416961241328806
7.56174696	94.26484038895066	7.56174696	66.53871509707068	7.56174696	43.01221321803311	7.56174696	52.992181992947735	7.56174696	15.550411609276239	7.56174696	-1.0137114560697569	7.56174696	8.395175780094945
7.60521272	86.90636074209792	7.60521272	55.281382994390185	7.60521272	14.724570294130444	7.60521272	41.1484653953612	7.60521272	76.02190870001334	7.60521272	81.77628479799881	7.60521272	29.95174163656344
7.64867848	112.54912096299356	7.64867848	84.98532641838773	7.64867848	28.439839783835282	7.64867848	57.26539622235896	7.64867848	66.4733402664832	7.64867848	74.56477262978078	7.64867848	33.51119922977861
7.69214424	65.19311959132605	7.69214424	90.6492767647357	7.69214424	43.15788357821111	7.69214424	78.34245264341416	7.69214424	64.90347962939984	7.69214424	68.35173444952409	7.69214424	50.07337266851869
7.73561	89.83835516678391	7.73561	92.27212731943536	7.73561	34.87858041638418	7.73561	65.37924551647848	7.73561	31.3112340437591	7.73561	9.137160478935812	7.73561	28.63810388290503
7.77907576	73.48482622905561	7.77907576	41.85292597744291	7.77907576	3.601825059659461	7.77907576	61.37551167009633	7.77907576	41.69563855852459	7.77907576	67.92104849696247	7.77907576	50.20525189135088
7.82254152	37.13253131782966	7.82254152	44.39086817088372	7.82254152	38.32752749000946	7.82254152	56.33110739080257	7.82254152	58.05585005920568	7.82254152	61.70340358852161	7.82254152	51.77469208535635
7.86600728	53.781468972794585	7.86600728	99.88529000251555	7.86600728	30.055612132434135	7.86600728	67.24600211139295	7.86600728	36.391141489400184	7.86600728	6.484237896206679	7.86600728	12.346315531856163
7.90947304	60.43163773363884	7.90947304	52.335661580173735	7.90947304	39.78601710069694	7.90947304	71.12027229574142	7.90947304	62.700896247466176	7.90947304	98.26357037498559	7.90947304	25.92002829282822
7.9529388	62.08303614005095	7.9529388	59.74158054800563	7.9529388	25.518693465953163	7.9529388	66.95409551589091	7.9529388	62.984602754532375	7.9529388	33.04142654991304	7.9529388	4.495750761876451
7.99640456	71.73566273171937	7.99640456	68.10276581034094	7.99640456	47.253604547788086	7.99640456	80.74774471723322	7.99640456	68.24184919012225	7.99640456	25.817838276874056	7.99640456	11.073417017503886
8.03987032	68.38951604833264	8.03987032	53.41905144414039	8.03987032	35.99072522719683	8.03987032	67.50158266762764	8.03987032	68.47231839172821	8.03987032	77.59284350637625	8.03987032	28.65297419279537
8.08333608	59.04459462957925	8.08333608	74.69038079600676	8.08333608	1.7300412810383818	8.08333608	73.2160565864101	8.08333608	61.67578291471693	8.08333608	35.36648605040614	8.08333608	32.234381861232094
8.12680184	53.70089701514766	8.12680184	57.916800759802015	8.12680184	56.471548737508044	8.12680184	75.89169294928297	8.12680184	83.85210024903301	8.12680184	40.138815352364475	8.12680184	42.81761143836505
8.1702676	52.35842174472643	8.1702676	18.098456231011994	8.1702676	46.21525325217834	8.1702676	51.52909246515037	8.1702676	31.0012081891947	8.1702676	28.909886260093714	8.1702676	48.40264559907533
8.21373336	73.01716735800397	8.21373336	72.23558473399834	8.21373336	34.96116950416325	8.21373336	57.12892522102993	8.21373336	77.12312035415164	8.21373336	92.67975880200993	8.21373336	2.9894777101554553
8.25719912	78.67713239466883	8.25719912	71.32851121840821	8.25719912	0.7093206119707247	8.25719912	48.691925991226526	8.25719912	94.21792185362494	8.25719912	38.4484979663504	8.25719912	44.57811127794568
8.30066488	89.33831539440953	8.30066488	72.3776430210184	8.30066488	53.45973756861298	8.30066488	39.21888970702821	8.30066488	52.28576509760626	8.30066488	53.21617348354715	8.30066488	42.16855941076639
8.34413064	100.00071489691453	8.34413064	68.38346498936761	8.34413064	57.21245869555361	8.34413064	67.71066708322269	8.34413064	43.32686574573893	8.34413064	62.98285961173457	8.34413064	28.760844295886017
8.3875964	92.66432944187233	8.3875964	36.34653476361444	8.3875964	28.967529115071613	8.3875964	52.16816039782634	8.3875964	64.34149879337986	8.3875964	34.748634925400154	8.3875964	50.354996690772424
8.43106216	55.3291575689714	8.43106216	54.26747821305588	8.43106216	9.725000240636234	8.43106216	91.59231942145107	8.43106216	80.32999479116472	8.43106216	39.51358210718422	8.43106216	45.9510554283743
